AE 1,AE 2,cluster
-0.8139284,0.6101948,0
-0.74268025,0.44853953,0
-0.7312183,0.42873466,0
-0.763403,0.49679038,0
-0.8017816,0.54618186,0
-0.80275923,0.55666536,0
-0.83077466,0.631352,0
-0.8715523,0.7300973,0
-0.8701106,0.7271108,0
-0.913497,0.81535244,0
-0.7982976,0.57560486,0
-0.8712201,0.7299508,0
-0.7419407,0.43033272,0
-0.80886173,0.57881415,0
-0.8749448,0.7459337,0
-0.73110855,0.43306738,0
-0.79769766,0.6137424,0
-0.8496688,0.70193446,0
-0.741218,0.49361902,0
-0.66956496,0.30176806,0
-0.72438854,0.4668272,0
-0.6356679,0.3140657,0
-0.64046866,0.2797708,0
-0.7093175,0.40158394,0
-0.7466181,0.44098783,0
-0.8710042,0.68736523,0
-0.83230644,0.62098193,0
-0.87198627,0.7163846,0
-0.6968569,0.32602566,0
-0.8623407,0.67527956,0
-0.9171366,0.782529,0
-0.94293904,0.86957073,0
-0.9612548,0.8907002,0
-1.0,1.0,0
-0.8720644,0.7217707,0
-0.8913914,0.73391855,0
-0.9044429,0.7476894,0
-0.94281214,0.90349275,0
-0.90891945,0.77827764,0
-0.8856537,0.7100758,0
-0.92687684,0.78053826,0
-0.9289328,0.8433428,0
-0.87010646,0.66555,0
-0.8713185,0.64870375,0
-0.84113663,0.5648194,0
-0.8412752,0.5856262,0
-0.82850826,0.5264406,0
-0.8886953,0.68984854,0
-0.93735284,0.79275286,0
-0.81972945,0.48887238,0
-0.8311638,0.5529623,0
-0.6732497,0.13578787,0
-0.6656015,0.105258934,0
-0.68833023,0.17190687,0
-0.7140744,0.23957993,0
-0.8264519,0.5382657,0
-0.6969214,0.17052688,0
-0.86496425,0.6050976,0
-0.86311984,0.6150323,0
-0.9170707,0.76602465,0
-0.8634796,0.5775125,0
-0.88321286,0.58774555,0
-0.8181237,0.4105184,0
-0.8372314,0.4655722,0
-0.8454574,0.5048309,0
-0.659349,0.0032456466,0
-0.6249594,0.0054195533,0
-0.5027088,-0.3010576,-1
-0.5318173,-0.22060846,0
-0.43083382,-0.40960136,-1
-0.34813055,-0.52271813,-1
-0.37722474,-0.4827396,-1
-0.29578683,-0.6748434,-1
-0.34354752,-0.5529865,-1
-0.43020016,-0.32339013,-1
-0.5621668,-0.0630985,0
-0.40228295,-0.40465462,-1
-0.32878843,-0.5392131,-1
-0.32029387,-0.5834598,-1
-0.30265424,-0.6004134,-1
-0.2660302,-0.6514007,-1
-0.14404339,-0.7830478,-1
0.0015191501,-0.8709044,-1
-0.07524721,-0.76948917,-1
-0.16253291,-0.7278528,-1
0.010082631,-0.8093652,-1
-0.029749805,-0.8377255,-1
0.09407466,-0.91939914,-1
-0.03481383,-0.8729555,-1
0.10120905,-0.8405482,-1
0.10447964,-0.8463133,-1
0.029425245,-0.94261754,-1
0.055604048,-0.95004725,-1
0.0661384,-0.88052624,-1
0.1528817,-0.85769975,-1
0.121082805,-1.0,-1
0.20003556,-0.9003304,-1
0.057699934,-0.90733117,-1
0.16317165,-0.7997585,-1
0.18556084,-0.8278621,-1
0.15950419,-0.8840253,-1
0.12895921,-0.9358863,-1
0.09096858,-0.896482,-1
0.18300308,-0.88591564,-1
0.17003612,-0.84754866,-1
0.2214067,-0.8951926,-1
0.36781168,-0.776693,-1
0.34446225,-0.74447525,-1
0.38372448,-0.63093925,-1
0.39353257,-0.7309751,-1
0.40157098,-0.69090253,-1
0.59964126,-0.6132683,-1
0.7348005,-0.4306609,-1
0.64514714,-0.5776275,-1
0.7729424,-0.5584753,-1
0.84811175,-0.5701497,-1
0.7815582,-0.6516716,-1
0.8594855,-0.5499702,-1
0.6719292,-0.6371931,-1
0.60366076,-0.66953427,-1
0.74238783,-0.64769596,-1
0.6523439,-0.6700356,-1
0.69283175,-0.6452357,-1
0.75929314,-0.6006846,-1
0.825779,-0.5977322,-1
0.729516,-0.5789156,-1
0.79862183,-0.65152764,-1
0.77390975,-0.62236345,-1
0.8595695,-0.59906787,-1
0.98081774,-0.59207284,-1
0.8734046,-0.63309896,-1
1.0,-0.5442372,-1
0.95046246,-0.5718414,-1
0.9959581,-0.5695004,-1
0.9752625,-0.60217655,-1
0.9402099,-0.6128044,-1
0.98848933,-0.64961874,-1
0.9142988,-0.5758055,-1
0.9379534,-0.594769,-1
0.9232602,-0.60303974,-1
0.7294216,-0.6829349,-1
0.8619735,-0.5996901,-1
0.86925125,-0.600716,-1
0.77193236,-0.71237284,-1
0.87061644,-0.6866643,-1
0.81036264,-0.7460015,-1
0.7782453,-0.7221806,-1
0.7776167,-0.7130774,-1
0.8727359,-0.6275186,-1
0.77409434,-0.6994888,-1
0.8136585,-0.6967416,-1
0.8203493,-0.72769654,-1
0.8222225,-0.7476792,-1
0.7116671,-0.73805463,-1
0.77267814,-0.7601055,-1
0.7760447,-0.7167389,-1
0.80620056,-0.72196233,-1
0.72691643,-0.68504834,-1
0.8311462,-0.71998435,-1
0.7360086,-0.7543153,-1
0.7739267,-0.74296886,-1
0.76706564,-0.74044234,-1
0.6790109,-0.7509066,-1
0.6867504,-0.7462368,-1
